Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.003000, 0.007263, 0.007263, 0.390010, -0.917986, -0.917856, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.003000, 0.006823, 0.006823, 0.390031, -0.917892, -0.917964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.003000, 0.008217, 0.008217, 0.390084, -0.917918, -0.918145, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.003000, 0.007267, 0.007267, 0.390177, -0.917833, -0.918396, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.004000, 0.007836, 0.007836, 0.390310, -0.917871, -0.918698, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.004000, 0.006167, 0.006167, 0.390484, -0.917786, -0.919058, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.004000, 0.006365, 0.006365, 0.390695, -0.917829, -0.919460, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.004000, 0.004013, 0.004013, 0.390941, -0.917743, -0.919913, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.005000, 0.003694, 0.003694, 0.391220, -0.917791, -0.920401, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.005000, 0.000857, 0.000857, 0.391530, -0.917703, -0.920934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.005000, 0.000235, 0.000235, 0.391866, -0.917756, -0.921495, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.005000, -0.003002, -0.003002, 0.392227, -0.917666, -0.922095, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.006000, -0.003837, -0.003837, 0.392610, -0.917725, -0.922715, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.006000, -0.007347, -0.007347, 0.393013, -0.917632, -0.923368, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.006000, -0.008270, -0.008270, 0.393434, -0.917698, -0.924034, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.006000, -0.012014, -0.012014, 0.393872, -0.917603, -0.924725, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.006000, -0.012971, -0.012971, 0.394324, -0.917676, -0.925423, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.007000, -0.016885, -0.016885, 0.394789, -0.917577, -0.926141, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.007000, -0.017764, -0.017764, 0.395266, -0.917659, -0.926858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.007000, -0.021764, -0.021764, 0.395753, -0.917557, -0.927590, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.007000, -0.022523, -0.022523, 0.396247, -0.917648, -0.928316, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.008000, -0.026585, -0.026585, 0.396751, -0.917541, -0.929054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.008000, -0.027115, -0.027115, 0.397259, -0.917641, -0.929780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.008000, -0.031162, -0.031162, 0.397773, -0.917528, -0.930514, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.009000, -0.031427, -0.031427, 0.398290, -0.917639, -0.931234, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.009000, -0.035425, -0.035425, 0.398810, -0.917519, -0.931959, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.009000, -0.035331, -0.035331, 0.399331, -0.917640, -0.932666, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.009000, -0.039279, -0.039279, 0.399853, -0.917512, -0.933377, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.010000, -0.038800, -0.038800, 0.400374, -0.917644, -0.934066, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.010000, -0.042643, -0.042643, 0.400893, -0.917507, -0.934758, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.010000, -0.041710, -0.041710, 0.401409, -0.917651, -0.935426, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.010000, -0.045201, -0.045201, 0.401922, -0.917515, -0.936096, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.011000, -0.044024, -0.044024, 0.402429, -0.917659, -0.936740, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.011000, -0.047210, -0.047210, 0.402931, -0.917525, -0.937386, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.011000, -0.045769, -0.045769, 0.403427, -0.917669, -0.938003, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.011000, -0.048699, -0.048699, 0.403916, -0.917535, -0.938621, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.012000, -0.047021, -0.047021, 0.404397, -0.917678, -0.939210, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.012000, -0.049667, -0.049667, 0.404871, -0.917546, -0.939799, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.012000, -0.047741, -0.047741, 0.405335, -0.917689, -0.940358, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.012000, -0.050157, -0.050157, 0.405791, -0.917557, -0.940917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.013000, -0.048009, -0.048009, 0.406236, -0.917699, -0.941446, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.013000, -0.050185, -0.050185, 0.406673, -0.917568, -0.941973, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.013000, -0.047797, -0.047797, 0.407098, -0.917711, -0.942472, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.014000, -0.049784, -0.049784, 0.407514, -0.917579, -0.942969, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.014000, -0.047203, -0.047203, 0.407918, -0.917722, -0.943438, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.014000, -0.048995, -0.048995, 0.408313, -0.917591, -0.943904, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.014000, -0.046270, -0.046270, 0.408696, -0.917733, -0.944341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.015000, -0.047913, -0.047913, 0.409068, -0.917602, -0.944777, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.015000, -0.045022, -0.045022, 0.409429, -0.917744, -0.945185, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.015000, -0.046501, -0.046501, 0.409779, -0.917613, -0.945591, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.015000, -0.043492, -0.043492, 0.410116, -0.917754, -0.945969, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.016000, -0.044859, -0.044859, 0.410443, -0.917622, -0.946346, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.016000, -0.041710, -0.041710, 0.410758, -0.917763, -0.946696, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.016000, -0.042945, -0.042945, 0.411063, -0.917631, -0.947045, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.016000, -0.039711, -0.039711, 0.411355, -0.917771, -0.947368, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.017000, -0.040874, -0.040874, 0.411637, -0.917639, -0.947691, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.019000, -0.037533, -0.037533, 0.411906, -0.917779, -0.947988, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.019000, -0.038549, -0.038549, 0.412166, -0.917646, -0.948286, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.019000, -0.035108, -0.035108, 0.412415, -0.917785, -0.948558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.019000, -0.036101, -0.036101, 0.412653, -0.917652, -0.948832, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.020000, -0.032629, -0.032629, 0.412880, -0.917791, -0.949082, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.020000, -0.033582, -0.033582, 0.413098, -0.917657, -0.949334, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.020000, -0.030073, -0.030073, 0.413305, -0.917796, -0.949562, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.020000, -0.031030, -0.031030, 0.413503, -0.917661, -0.949793, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.021000, -0.027579, -0.027579, 0.413691, -0.917800, -0.950002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.021000, -0.028526, -0.028526, 0.413870, -0.917665, -0.950214, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.021000, -0.025157, -0.025157, 0.414040, -0.917804, -0.950405, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
